# Sites in this file include:																	,,,,,,,,,,,,,,,,,
# USGS 14220500 LEWIS RIVER AT ARIEL, WA																	,,,,,,,,,,,,,,,,
# 																	,,,,,,,,,,,,,,,,,
# Explanation of Parameter Code and ts_id used in the Statistics Data 																	,,,,,,,,,,,,,,,,,
# parameter_cd			ts_id	Location Name													,,,,,,,,,,,,,,,,,
# 00060	150403																,,,,,,,,,,,,,,,,,
#																	,,,,,,,,,,,,,,,,,
# Data heading explanations.																	,,,,,,,,,,,,,,,,,
# begin_yr_dt ... First complete year of data of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# end_yr_dt   ... Last complete year of data of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# max_va      ... Maximum of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# min_va      ... Minimum of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# mean_va     ... Mean of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p05_va      ... 05 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p10_va      ... 10 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p20_va      ... 20 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p25_va      ... 25 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p50_va      ... 50 percentile (median) of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p75_va      ... 75 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p80_va      ... 80 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p90_va      ... 90 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p95_va      ... 95 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
#																	,,,,,,,,,,,,,,,,,
#day,month_nu,day_nu,begin_yr,end_yr,count_nu,max_va_yr,max_va,min_va_yr,min_va,mean_va,p10_va,p20_va,p25_va,p50_va,p75_va,p80_va,p90_va
#day,month_nu,day_nu,begin_yr,end_yr,Years Collected,Max daily mean year,max daily mean,min daily mean year,min daily mean,mean of daily mean values,10th,20th,25th,50th,75th,80th,90th
142,5,21,2000,2016,17,2011,8890,2004,1690,4250,1960,2430,2600,4380,5450,5740,6810
143,5,22,2000,2016,17,2011,8920,2004,1780,4450,1990,2440,2610,3860,5770,6200,7330
144,5,23,2000,2016,17,2011,8620,2004,2050,4620,2050,2440,2610,4490,6240,6520,7800
145,5,24,2000,2016,17,2012,7820,2007,2040,4530,2300,2440,2600,4130,6550,6940,7670
146,5,25,2000,2016,17,2012,7970,2007,2040,4220,2330,2600,2720,3890,5530,6060,6900
147,5,26,2000,2016,17,2012,8040,2007,2040,4100,2330,2610,2890,3860,5150,5770,6400
148,5,27,2000,2016,17,2012,7470,2003,1980,4020,2030,2610,2910,3880,5210,5600,6040
149,5,28,2000,2016,17,2004,9230,2003,1990,4230,2030,2400,2580,3850,5640,5760,7440
150,5,29,2000,2016,17,2004,8780,2003,1990,4330,2030,2390,2590,4060,5630,5780,8200
151,5,30,2000,2016,17,2013,8970,2007,2050,4560,2230,2550,2690,4850,5790,5890,8120
152,5,31,2000,2016,17,2013,9430,2007,2050,4630,2300,2720,2750,4210,5810,6160,8890
153,6,1,2000,2016,17,2013,9070,2007,2050,4400,2290,2580,2760,3740,5560,5730,8840
154,6,2,2000,2016,17,2010,10700,2007,2050,4390,2250,2590,2760,3740,5390,5680,7560
155,6,3,2000,2016,17,2010,11500,2007,2050,4330,2310,2730,2760,3690,5230,5550,7050
156,6,4,2000,2016,17,2010,11400,2007,2050,4210,2310,2620,2700,3680,5040,5440,7420
157,6,5,2000,2016,17,2010,10100,2007,2050,4110,2220,2340,2550,3450,5180,5620,7650
158,6,6,2000,2016,17,2010,8750,2007,2050,4180,2270,2420,2590,3580,5420,5650,8040
159,6,7,2000,2016,17,2008,8920,2007,2060,4310,2270,2570,2740,3940,5450,5740,8800
160,6,8,2000,2016,17,2008,8940,2007,2050,4080,2270,2490,2670,3330,4820,5090,8760
161,6,9,2000,2016,17,2008,8920,2007,2050,3970,2270,2380,2590,2800,4740,5540,8560
162,6,10,2000,2016,17,2008,8970,2007,2050,3900,2270,2350,2560,3150,4740,5030,8870
163,6,11,2000,2016,17,2010,9000,2007,2050,3890,2240,2360,2550,3070,4620,4800,8950
164,6,12,2000,2016,17,2000,10800,2007,2050,4240,2230,2310,2350,2810,5160,6990,9270
165,6,13,2000,2016,17,2000,11800,2007,2060,4210,2250,2360,2460,3020,5030,6260,9000
166,6,14,2000,2016,17,2000,10100,2007,2070,3900,2250,2360,2560,3030,4270,5270,8180
167,6,15,2000,2016,17,2000,9000,2007,2080,3720,2250,2350,2400,2820,4250,4970,7950
168,6,16,2000,2016,17,2008,8050,2003,2000,3570,2070,2300,2340,2820,4250,4620,7500
169,6,17,2000,2016,17,2008,6600,2003,1950,3310,2070,2300,2340,2820,4030,4240,5420
170,6,18,2000,2016,17,2008,5780,2003,1830,3160,2020,2230,2340,2810,3780,4210,5010
171,6,19,2000,2016,17,2008,5620,2003,1710,3060,1970,2210,2340,2800,3560,4000,4720
172,6,20,2000,2016,17,2008,5530,2003,1650,3040,1940,2210,2330,2800,3530,3890,4680
173,6,21,2000,2016,17,2008,5340,2003,1640,2980,1890,2210,2330,2800,3380,3650,4590
174,6,22,2000,2016,17,2008,5340,2003,1630,2930,1870,2210,2340,2770,3290,3600,4560
175,6,23,2000,2016,17,2008,5500,2003,1640,2900,1840,2070,2190,2770,3290,3490,4600
176,6,24,2000,2016,17,2008,5620,2003,1640,2890,1840,2050,2190,2770,3310,3490,4470
177,6,25,2000,2016,17,2008,5580,2003,1600,2840,1830,2040,2180,2770,3350,3440,4090
178,6,26,2000,2016,17,2008,5620,2003,1570,2880,1830,2030,2180,2760,3170,3370,4670
179,6,27,2000,2016,17,2008,5550,2003,1570,2780,1820,1980,2170,2770,2960,3090,4090
180,6,28,2000,2016,17,2008,5410,2003,1570,2710,1720,1980,2170,2750,2950,3020,3690
181,6,29,2000,2016,17,2008,5530,2003,1570,2760,1720,1980,2180,2740,2910,3140,4110
182,6,30,2000,2016,17,2008,5620,2003,1570,2790,1750,1970,2170,2740,2900,3230,4270
183,7,1,2000,2016,17,2008,5660,2003,1480,2620,1800,2020,2130,2370,2790,3180,3970
184,7,2,2000,2016,17,2008,5820,2003,1350,2530,1760,2020,2050,2330,2730,3040,3870
185,7,3,2000,2016,17,2008,5820,2003,1250,2440,1530,1910,2020,2230,2530,2760,3880
186,7,4,2000,2016,17,2008,5810,2003,1310,2370,1510,1820,1860,2100,2360,2530,3880
187,7,5,2000,2016,17,2008,5650,2003,1310,2320,1490,1670,1790,2090,2360,2460,3850
188,7,6,2000,2016,17,2008,4980,2003,1310,2340,1490,1650,1770,2090,2410,2590,4460
189,7,7,2000,2016,17,2011,4570,2003,1300,2280,1480,1560,1630,2080,2430,2500,4320
190,7,8,2000,2016,17,2008,3820,2003,1300,2180,1480,1570,1640,2090,2430,2510,3410
191,7,9,2000,2016,17,2008,3140,2003,1310,2150,1480,1590,1660,2100,2430,2630,3010
192,7,10,2000,2016,17,2012,3020,2003,1310,2120,1480,1600,1660,2100,2370,2510,2870
193,7,11,2000,2016,17,2012,3030,2015,1280,1970,1300,1580,1650,2010,2220,2370,2650
194,7,12,2000,2016,17,2012,2630,2015,1260,1870,1280,1490,1540,1940,2210,2280,2570
195,7,13,2000,2016,17,2011,2450,2015,1260,1800,1270,1470,1500,1940,2040,2080,2320
196,7,14,2000,2016,17,2011,2400,2015,1260,1780,1270,1440,1480,1850,2000,2050,2310
197,7,15,2000,2016,17,2011,2400,2015,1260,1790,1270,1420,1490,1800,2020,2080,2290
198,7,16,2000,2016,17,2008,2500,2015,1260,1800,1270,1490,1520,1880,1980,2000,2420
199,7,17,2000,2016,17,2011,2500,2015,1260,1790,1270,1500,1520,1790,1980,2000,2440
200,7,18,2000,2016,17,2011,2610,2003,1260,1780,1270,1500,1520,1800,1970,1990,2350
201,7,19,2000,2016,17,2011,2610,2015,1270,1780,1280,1480,1500,1800,1970,1990,2310
202,7,20,2000,2016,17,2011,2520,2003,1270,1760,1270,1480,1500,1810,1970,1990,2170
203,7,21,2000,2016,17,2011,2410,2003,1240,1650,1260,1350,1420,1580,1840,1990,2150
204,7,22,2000,2016,17,2011,2400,2003,1210,1630,1240,1300,1400,1540,1830,1990,2140
205,7,23,2000,2016,17,2011,2460,2003,1210,1610,1240,1300,1390,1530,1830,1990,2160
206,7,24,2000,2016,17,2011,2530,2003,1220,1630,1240,1300,1380,1530,1880,1990,2170
207,7,25,2000,2016,17,2011,2470,2003,1210,1650,1260,1310,1380,1530,1990,2020,2160
208,7,26,2000,2016,17,2011,2210,2003,1210,1630,1250,1320,1380,1540,1970,1990,2070
209,7,27,2000,2016,17,2005,2040,2003,1220,1580,1260,1320,1390,1530,1790,1930,2020
210,7,28,2000,2016,17,2005,2040,2003,1210,1570,1260,1320,1390,1510,1840,1930,2020
211,7,29,2000,2016,17,2005,2050,2003,1210,1580,1260,1340,1380,1510,1870,1930,2030
212,7,30,2000,2016,17,2005,2040,2003,1210,1580,1260,1280,1340,1530,1880,1940,2020
213,7,31,2000,2016,17,2000,2210,2015,1150,1570,1210,1270,1300,1490,1940,1990,2070
214,8,1,2000,2016,17,2000,2430,2012,943,1470,954,1210,1210,1390,1720,1900,2130
215,8,2,2000,2016,17,2000,2460,2015,887,1480,1080,1210,1210,1390,1700,1870,2130
